id,track_name,artists_name,artist_count,released_year,released_month,released_day,total_rating,rating_count
1,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",2,2023,7,14
2,LALA,Myke Towers,1,2023,3,23
3,vampire,Olivia Rodrigo,1,2023,6,30
4,Cruel Summer,Taylor Swift,1,2019,8,23
5,WHERE SHE GOES,Bad Bunny,1,2023,5,18
6,Sprinter,"Dave, Central Cee",2,2023,6,1
7,Ella Baila Sola,"Eslabon Armado, Peso Pluma",2,2023,3,16
8,Columbia,Quevedo,1,2023,7,7
9,fukumean,Gunna,1,2023,5,15
10,La Bebe - Remix,"Peso Pluma, Yng Lvcas",2,2023,3,17
11,un x100to,"Bad Bunny, Grupo Frontera",2,2023,4,17
12,Super Shy,NewJeans,1,2023,7,7
13,Flowers,Miley Cyrus,1,2023,1,12
14,Daylight,David Kushner,1,2023,4,14
15,As It Was,Harry Styles,1,2022,3,31
16,Kill Bill,SZA,1,2022,12,8
17,Cupid - Twin Ver.,Fifty Fifty,1,2023,2,24
18,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,1,2023,7,13
19,Classy 101,"Feid, Young Miko",2,2023,3,31
20,Like Crazy,Jimin,1,2023,3,24
21,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",3,2023,6,22
22,I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,1,2023,7,7
23,I Wanna Be Yours,Arctic Monkeys,1,2013,1,1
24,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",2,2023,5,31
25,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",3,2023,6,2
